"№","Код","name","size","palletSize","weight","opt","price"
"96","З-01135","Блок ""Фальшстолб"" 36х30х4,5 Белый","Поддон 120*80"," ","9.6","154.86","178"
"97","З-01158","Блок ""Фальшстолб"" 36х30х4,5 терракота 503","Поддон 120*80"," ","5","121.8","140"
"98","З-01134","Блок ""Фальшстолб"" 36х30х4,5 черный № 330","Поддон 120*80"," ","5","121.8","140"
"99","З-01160","Блок ""Фальшстолб"" 36х30х4,5 Элит (1%-420, 0,3%-960)","Поддон 120*80"," ","9.6","178.35","205"
"100","З-01136","Блок ""Фальшстолб"" 36х30х4,5 Элит (2% - 503)","Поддон 120*80"," ","9.6","178.35","205"
"","","Блок Именной камень ""СТОУН ТЭК""","","","","",""
"101","З-00918","_Именной камень ""СТОУН ТЭК""  39x19x4 серый","Поддон 120*80"," "," ","0.01","0.01"
"102","З-00953","Именной камень ""СТОУН ТЭК"" бежевый № 960","Поддон 120*80"," "," ","0.01","0.01"
"","","Блок колотый 39х12х19","","","","",""
"103","О-00014","Бетонный блок колотый 39х12х19 серый","Поддон 120*80","96","12","60.9","70"
"104","З-00844","Бетонный блок колотый 390x120x190 Rio","Поддон 120*80","96","12","71.34","82"
"105","О-00016","Бетонный блок колотый 39х12х19 бежевый № 960","Поддон 120*80","96","12","71.34","82"
"106","О-00029","Бетонный блок колотый 39х12х19 Белый","Поддон 120*80","96","12","105.27","121"
"107","О-00019","Бетонный блок колотый 39х12х19 коричневый № 655","Поддон 120*80","96","12","71.34","82"
"108","О-00056","Бетонный блок колотый 39х12х19 красн № 130","Поддон 120*80","96","12","71.34","82"
"109","О-00015","Бетонный блок колотый 39х12х19 оливковый 420","Поддон 120*80","96","12","71.34","82"
"110","О-00055","Бетонный блок колотый 39х12х19 терракота 503","Поддон 120*80","96","12","71.34","82"
"111","З-00047","Бетонный блок колотый 39х12х19 черный № 330","Поддон 120*80","96","12","71.34","82"
"112","З-00139","Бетонный блок колотый 39х12х19 Элит (0,7%- 960, 0,3%- 420)","Поддон 120*80","96","12","125.28","144"
"113","З-00711","Бетонный блок колотый 39х12х19 Элит (0.8%-420)","Поддон 120*80","96","12","125.28","144"
"114","З-00147","Бетонный блок колотый 39х12х19 Элит (1%-420, 0,3%-960)","Поддон 120*80","96","12","125.28","144"
"115","З-00388","Бетонный блок колотый 39х12х19 Элит (2% - 420)","Поддон 120*80","96","12","125.28","144"
"116","З-00367","Бетонный блок колотый 39х12х19 Элит (2% - 503)","Поддон 120*80","96","12","125.28","144"
