Наименование товаров,Тара,в пал.,Вес,Цена
Крышка заборная 40х4х15 с фаской бежевый № 960,Поддон 120*80,155,5.3,"99,00"
Крышка заборная 40х4х15 с фаской Белый,Поддон 120*80,155,5.3,"117,00"
Крышка заборная 40х4х15 с фаской коричневый № 655,Поддон 120*80,155,5.3,"99,00"
Крышка заборная 40х4х15 с фаской кофе+молоко F8000,Поддон 120*80,155,5.3,"99,00"
Крышка заборная 40х4х15 с фаской красн № 130,Поддон 120*80,155,5.3,"99,00"
Крышка заборная 40х4х15 с фаской оливковый № 420,Поддон 120*80,155,5.3,"99,00"
Крышка заборная 40х4х15 с фаской терракот № 503,Поддон 120*80,155,5.3,"99,00"
Крышка заборная 40х4х15 с фаской черный № 330,Поддон 120*80,155,5.3,"99,00"
"Крышка заборная 40х4х15 с фаской элит (1%-420, 0,3%-960)",Поддон 120*80,155,5.3,"135,00"
Крышка заборная 40х4х15 с фаской элит (2% - 420),Поддон 120*80,155,5.3,"135,00"
Крышка заборная 40х4х15 с фаской элит (2% - 503),Поддон 120*80,155,5.3,"135,00"
Крышка заборная 50х5х25,,,,
_Крышка заборная 50х5х25 серый (базовый),Поддон 120*80,70,12,"166,00"
Крышка заборная 50х5х25 бежевый № 960,Поддон 120*80,70,12,"211,00"
Крышка заборная 50х5х25 Белый,Поддон 120*80,70,12,"252,00"
Крышка заборная 50х5х25 коричневый № 655,Поддон 120*80,70,12,"211,00"
Крышка заборная 50х5х25 кофе+молоко F8000,Поддон 120*80,70,12,"211,00"
Крышка заборная 50х5х25 красн № 130,Поддон 120*80,70,12,"211,00"
Крышка заборная 50х5х25 оливковый № 420,Поддон 120*80,70,12,"211,00"
Крышка заборная 50х5х25 терракот № 503,Поддон 120*80,70,12,"211,00"
Крышка заборная 50х5х25 черный № 330,Поддон 120*80,70,12,"211,00"
"Крышка заборная 50х5х25 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,70,12,"276,00"
"Крышка заборная 50х5х25 элит (1%-420, 0,3%-960)",Поддон 120*80,70,12,"276,00"
Крышка заборная 50х5х25 элит (2% - 420),Поддон 120*80,70,12,"276,00"
Крышка заборная 50х5х25 элит (2% - 503),Поддон 120*80,70,12,"276,00"
Крышка заборная 50х5х25 Элит (2%-130),Поддон 120*80,70,12,"276,00"
Крышка заборная 35х50х9 двускатная,,,,
_Крышка заборная 35х50х9 двускатная серый (базовый),Поддон 120*80,32,23.75,"280,00"
Крышка заборная 35х50х9 двускатная бежевый № 960,Поддон 120*80,32,23.75,"321,00"
Крышка заборная 35х50х9 двускатная Белый,Поддон 120*80,32,23.75,"395,00"
Крышка заборная 35х50х9 двускатная коричневый № 655,Поддон 120*80,32,23.75,"321,00"
Крышка заборная 35х50х9 двускатная кофе+молоко F8000,Поддон 120*80,32,23.75,"321,00"
Крышка заборная 35х50х9 двускатная красн № 130,Поддон 120*80,32,23.75,"321,00"
Крышка заборная 35х50х9 двускатная оливковый 420,Поддон 120*80,32,23.75,"321,00"
Крышка заборная 35х50х9 двускатная терракота 503,Поддон 120*80,32,23.75,"321,00"
Крышка заборная 35х50х9 двускатная черный № 330,Поддон 120*80,32,23.75,"321,00"
"Крышка заборная 35х50х9 двускатная элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,32,23.75,"433,00"
"Крышка заборная 35х50х9 двускатная элит (1%-420, 0,3%-960)",Поддон 120*80,32,23.75,"433,00"
