Наименование товаров,Тара,в пал.,Вес,Цена
Бордюр 50х20х6 красн № 130,Поддон 120*80,64,12.5,"193,00"
Бордюр 50х20х6 оливковый 420,Поддон 120*80,64,12.5,"193,00"
Бордюр 50х20х6 терракота 503,Поддон 120*80,64,12.5,"193,00"
Бордюр 50х20х6 черный № 330,Поддон 120*80,64,12.5,"193,00"
Водосток тротуарный,,,,
_Водосток тротуарный 40х6х17 серый (базовый),Поддон 120*80,98,6.8,"153,00"
Водосток тротуарный 40х6х17 бежевый № 960,Поддон 120*80,98,6.8,"183,00"
Водосток тротуарный 40х6х17 оливковый 420,Поддон 120*80,98,6.8,"183,00"
Водосток тротуарный 40х6х17 Белый,Поддон 120*80,98,6.8,"201,00"
Водосток тротуарный 40х6х17 коричневый № 655,Поддон 120*80,98,6.8,"183,00"
Водосток тротуарный 40х6х17 кофе+молоко F8000,Поддон 120*80,98,6.8,"183,00"
Водосток тротуарный 40х6х17 красн № 130,Поддон 120*80,98,6.8,"183,00"
Водосток тротуарный 40х6х17 терракота 503,Поддон 120*80,98,6.8,"183,00"
Водосток тротуарный 40х6х17 черный № 330,Поддон 120*80,98,6.8,"183,00"
"Водосток тротуарный 40х6х17 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,98,6.8,"215,00"
"Водосток тротуарный 40х6х17 элит (1%-420, 0,3%-960)",Поддон 120*80,98,6.8,"215,00"
Водосток тротуарный 40х6х17 элит (2% - 420),Поддон 120*80,98,6.8,"215,00"
Классико,,,,
"_Тротуарная плитка ""Классико"" серый (базовый)",Поддон 120*80,500,2.2,"11,58"
"_Тротуарная плитка ""Классико"" синий",Поддон 120*80,500,2.2,"12,44"
Классико Коктейль-Тоскана,Поддон 120*80,500,2.2,"12,44"
"Тротуарная плитка ""Классико"" бежевый № 960",Поддон 120*80,500,2.2,"12,44"
"Тротуарная плитка ""Классико"" Белый",Поддон 120*80,500,2.2,"14,79"
"Тротуарная плитка ""Классико"" коричневый № 655",Поддон 120*80,500,2.2,"12,44"
"Тротуарная плитка ""Классико"" кофе+молоко F8000",Поддон 120*80,500,2.2,"12,44"
"Тротуарная плитка ""Классико"" красн № 130",Поддон 120*80,500,2.2,"12,44"
"Тротуарная плитка ""Классико"" микс",Поддон 120*80,500,2.2,"12,44"
"Тротуарная плитка ""Классико"" оливковый № 420",Поддон 120*80,500,2.2,"12,44"
"Тротуарная плитка ""Классико"" терракота № 503",Поддон 120*80,500,2.2,"12,44"
"Тротуарная плитка ""Классико"" черный № 330",Поддон 120*80,500,2.2,"12,44"
"Тротуарная плитка ""Классико"" Элит 503 2%",Поддон 120*80,500,2.2,"16,00"
"Тротуарная плитка ""Классико"" элит (1%-420, 0,3%-960)",Поддон 120*80,500,2.2,"16,00"
"Тротуарная плитка Элит ""Классико"" микс белый",Поддон 120*80,500,2.2,"14,79"
"Тротуарная плитка Элит ""Классико"" элит (2% - 420)",Поддон 120*80,500,2.2,"16,00"
"Тротуарная плитка ""Кирпич""",,,,
"_Тротуарная плитка ""Кирпич"" 200х60х100 мм серый (базовый)",Поддон 120*80,480,2.2,"12,04"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм элит (2% - 503)",Поддон 120*80,480,2.2,"16,64"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм Белый",Поддон 120*80,480,2.2,"15,38"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм элит (1%-420, 0,3%-960)",Поддон 120*80,480,2.2,"16,64"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм элит (2% - 420)",Поддон 120*80,480,2.2,"16,64"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм 960 5% бежевый Элит",Поддон 120*80,480,2.2,"16,64"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм бежевый № 960",Поддон 120*80,480,2.2,"12,94"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм коричневый № 655",Поддон 120*80,480,2.2,"12,94"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм кофе+молоко F8000",Поддон 120*80,480,2.2,"12,94"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм красн № 130",Поддон 120*80,480,2.2,"12,94"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм оливковый 420",Поддон 120*80,480,2.2,"12,94"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм терракота 503",Поддон 120*80,480,2.2,"12,94"
"Тротуарная плитка ""Кирпич"" 200х60х100 мм черный № 330",Поддон 120*80,480,2.2,"12,94"
10. Патио,,,,
_Барбекю PATIO,,,,
"Барбекю ""Grande"" Blanco",Поддон 120*80,4,4000,"130000,00"
"Барбекю ""Grande"" Rio",Поддон 120*80,4,4000,"130000,00"
"Барбекю ""Hogar"" Blanco",Поддон 120*80,4,2400,"84000,00"
"Барбекю ""Hogar"" Rio",Поддон 120*80,4,2400,"84000,00"
"Барбекю ""Massima"" Blanco",Поддон 120*80,,6500,"148000,00"
"Барбекю ""Massima"" Rio",Поддон 120*80,,6500,"148000,00"
"Барбекю ""Pasion"" Blanco",Поддон 120*80,3,3300,"108000,00"
"Барбекю ""Pasion"" Rio",Поддон 120*80,3,3300,"108000,00"
"Барбекю ""Sabroso"" Blanko",Поддон 120*80,5,3800,"110000,00"
"Барбекю ""Sabroso"" Rio",Поддон 120*80,5,3800,"110000,00"
_Барные стойки PATIO,,,,
"Барная стойка ""Fiesta"" Blanco",Поддон 120*80,3,2600,"45000,00"
"Барная стойка ""Fiesta"" Rio",Поддон 120*80,3,2600,"45000,00"
"Барная стойка ""Verano"" Rio",Поддон 120*80,3,2300,"50000,00"
"Барная стойка ""Verano"" Blanco",Поддон 120*80,3,2300,"50000,00"
_Диваны PATIO,,,,
"Диван ""Siesta"" Blanco",Поддон 120*80,2,2100,"32000,00"
"Диван ""Siesta"" Rio",Поддон 120*80,2,2100,"32000,00"
"Диван угловой ""Grande"" Blanco",Поддон 120*80,3,3100,"46000,00"
"Диван угловой ""Grande"" Rio",Поддон 120*80,3,3100,"46000,00"
_Камины PATIO,,,,
"Камин ""Patio Calor"" Blanco",Поддон 120*80,6,2400,"63000,00"
"Камин ""Patio Calor"" Rio",Поддон 120*80,6,2400,"63000,00"
6,Поддон 120*80,6,7100,"130000,00"
"Камин ""Patio Grande"" Rio",Поддон 120*80,6,7100,"130000,00"
"Камин ""Patio Milagro"" Blanco",Поддон 120*80,6,2305,"68000,00"
"Камин ""Patio Milagro"" Rio",Поддон 120*80,6,2305,"68000,00"
_Кострища PATIO,,,,
"Кострище ""Plaza"" Blanco",Поддон 120*80,1,350,"18000,00"
"Кострище ""Plaza"" Rio",Поддон 120*80,1,350,"18000,00"
"Кострище ""Roca"" Blanco",Поддон 120*80,1,450,"18000,00"
"Кострище ""Roca"" Rio",Поддон 120*80,1,450,"18000,00"
_Мангалы PATIO,,,,
"Мангал ""Belleza"" Rio",Поддон 120*80,3,2700,"63000,00"
"Мангал ""Belleza"" Blanco",Поддон 120*80,3,2700,"63000,00"
"Мангал ""Comodo"" РД Rio",Поддон 120*80,3,700,"21500,00"
"Мангал ""Estilo"" Blanco",Поддон 120*80,3,700,"30000,00"
"Мангал ""Estilo"" Rio",Поддон 120*80,3,700,"30000,00"
"Мангал ""Familia"" Blanco",Поддон 120*80,2,2300,"63000,00"
"Мангал ""Familia"" Rio",Поддон 120*80,2,2300,"63000,00"
"Мангал ""Fuego"" Blanco",Поддон 120*80,2,700,"30000,00"
"Мангал ""Fuego"" Rio",Поддон 120*80,2,700,"30000,00"
_Стены и столбы PATIO,,,,
Садовый парапет Blanco,Поддон 120*80,1,200,"3000,00"
Садовый парапет Rio,Поддон 120*80,1,200,"3000,00"
Садовый парапет с крышкой Blanco,Поддон 120*80,1,250,"3300,00"
Садовый парапет с крышкой Rio,Поддон 120*80,1,250,"3300,00"
Садовый парапет с просветом Blanco,Поддон 120*80,1,200,"2700,00"
Садовый парапет с просветом Rio,Поддон 120*80,1,200,"2700,00"
Садовый светильник Blanco,Поддон 120*80,1,500,"7200,00"
Садовый светильник Rio,Поддон 120*80,1,500,"7200,00"
Садовый столбик Blanco,Поддон 120*80,1,400,"4400,00"
Садовый столбик Rio,Поддон 120*80,1,400,"4400,00"
Столб ограждения Blanco,Поддон 120*80,1,600,"6500,00"
Столб ограждения Gray,Поддон 120*80,1,600,"6000,00"
Столб ограждения Rio,Поддон 120*80,1,600,"6500,00"
Столб светильник Blanco,Поддон 120*80,1,500,"8500,00"
Столб светильник Rio,Поддон 120*80,1,500,"8500,00"
_Столы PATIO,,,,
"Стол барный ""Arte"" Blanco",Поддон 120*80,,600,"10000,00"
"Стол барный ""Arte"" Rio",Поддон 120*80,,600,"10000,00"
"Стол обеденный ""Lujo"" Blanco",Поддон 120*80,,1000,"15000,00"
"Стол обеденный ""Lujo"" Rio",Поддон 120*80,,1000,"15000,00"
"Стол обеденный ""Magia"" Blanco",Поддон 120*80,,1000,"15000,00"
"Стол обеденный ""Magia"" Rio",Поддон 120*80,,1000,"15000,00"
A-камень 10 х 10 х 20,,,,
_А-камень 10 х 10 х 20 Gray,Поддон 120*80,432,3.8,"27,00"
А-камень 10 х 10 х 20 Rio,Поддон 120*80,432,3.8,"35,00"
А-камень 10 х 10 х 20 Blanco,Поддон 120*80,432,3.8,"35,00"
B-камень 10 х 20 х 20,,,,
_B-Камень 10 х 20 х 20 Gray,Поддон 120*80,216,7.5,"53,00"
B-Камень 10 х 20 х 20 Blanko,Поддон 120*80,216,7.5,"70,00"
B-Камень 10 х 20 х 20 Rio,Поддон 120*80,216,7.5,"70,00"
C-камень 10 х 10 х 30,,,,
_C-Камень 10 х 10 х 30 Gray,Поддон 120*80,288,5.55,"44,00"
C-Камень 10 х 10 х 30 Blanko,Поддон 120*80,288,5.55,"59,00"
C-Камень 10 х 10 х 30 Rio,Поддон 120*80,288,5.55,"58,00"
D-камень 10 х 20 х 30,,,,
_D-камень 10 х 20 х 30 Gray,Поддон 120*80,144,11,"82,00"
D-камень 10 х 20 х 30 Rio,Поддон 120*80,144,11,"108,00"
D-камень 10 х 20 х 30 Blanco,Поддон 120*80,144,11,"110,00"
E-камень 100 х 124/192 х 192,,,,
Е-камень 100 х 124/192 х 192 Rio,Поддон 120*80,,,"108,00"
Е-камень 100 х 124/192 х 192 Blanco,Поддон 120*80,,,"124,00"
F-камень 10 х 10 х 10 колотый,,,,
_F-камень 10 х 10 х 10 колотый Gray,Поддон 120*80,864,1.9,"14,00"
F-камень 10 х 10 х 10 колотый Blanco,Поддон 120*80,864,1.9,"21,00"
F-камень 10 х 10 х 10 колотый Rio,Поддон 120*80,864,4,"18,00"
